

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

164.065  000.137  000.076: sourcing /home/alextylor/.local/share/nvim/site/pack/packer/start/cmp-spell/after/plugin/cmp-spell.lua
164.349  000.149  000.149: require cmp_luasnip
164.470  000.309  000.160: sourcing /home/alextylor/.local/share/nvim/site/pack/packer/start/cmp_luasnip/after/plugin/cmp_luasnip.lua
164.485  000.456: loading after plugins
164.500  000.015: inits 3
166.104  001.603: reading ShaDa
166.723  000.140  000.140: require luasnip.util.path
166.875  000.148  000.148: require luasnip.loaders.util
166.933  000.055  000.055: require luasnip.util.str
166.938  000.520  000.176: require luasnip.loaders.from_lua
167.199  000.072  000.072: require luasnip.nodes.snippetProxy
167.207  000.238  000.167: require luasnip.loaders.from_snipmate
167.478  000.190  000.190: require luasnip.loaders.from_vscode
167.499  000.447: opening buffers
167.721  000.041  000.041: sourcing /home/alextylor/.local/share/nvim/site/pack/packer/start/conflict-marker.vim/autoload/conflict_marker/detect.vim
167.764  000.224: BufEnter autocommands
167.767  000.002: editing files in windows
167.942  000.071  000.071: require gitsigns.nvim.highlights
168.281  000.442: VimEnter autocommands
168.285  000.005: UIEnter autocommands
168.287  000.002: before starting main loop
169.359  000.430  000.430: require lsp_signature.helper
169.396  001.029  000.599: require lsp_signature
170.612  001.296: first screen update
170.615  000.002: --- NVIM STARTED ---
